motif_id	sample_id	max_AF_region_count	max_FPS_region_count
BATF3_BATF3_HUMAN.H11MO.0.B	98JKPD8_lumA	26	43
BATF3_BATF3_HUMAN.H11MO.0.B	ANAB5F7_basal	19	59
BATF3_BATF3_HUMAN.H11MO.0.B	2GAMBDQ_norm	47	3
BATF3_BATF3_HUMAN.H11MO.0.B	S6R691V_her2	21	17
BATF3_MA0835.2	2GAMBDQ_norm	30	0
BATF3_MA0835.2	S6R691V_her2	4	12
BATF3_MA0835.2	PU24GB8_lumB	8	2
BATF3_MA0835.2	98JKPD8_lumA	14	23
BATF3_MA0835.2	ANAB5F7_basal	12	31
BATFJUN_MA0462.2	PU24GB8_lumB	9	2
BATFJUN_MA0462.2	2GAMBDQ_norm	28	0
BATFJUN_MA0462.2	98JKPD8_lumA	13	22
BATFJUN_MA0462.2	ANAB5F7_basal	13	31
BATFJUN_MA0462.2	S6R691V_her2	4	12
BATF_BATF_HUMAN.H11MO.0.A	S6R691V_her2	14	21
BATF_BATF_HUMAN.H11MO.0.A	ANAB5F7_basal	18	34
BATF_BATF_HUMAN.H11MO.0.A	2GAMBDQ_norm	35	9
BATF_BATF_HUMAN.H11MO.0.A	98JKPD8_lumA	24	33
BATF_BATF_HUMAN.H11MO.0.A	PU24GB8_lumB	13	7
BATF_M07821_2.00	2GAMBDQ_norm	24	0
BATF_M07821_2.00	S6R691V_her2	9	16
BATF_M07821_2.00	PU24GB8_lumB	7	3
BATF_M07821_2.00	ANAB5F7_basal	7	31
BATF_M07821_2.00	98JKPD8_lumA	17	14
BATF_MA1634.1	PU24GB8_lumB	9	1
BATF_MA1634.1	ANAB5F7_basal	13	30
BATF_MA1634.1	S6R691V_her2	4	12
BATF_MA1634.1	2GAMBDQ_norm	26	0
BATF_MA1634.1	98JKPD8_lumA	13	22
BC11A_BC11A_HUMAN.H11MO.0.A	2GAMBDQ_norm	163	9
BC11A_BC11A_HUMAN.H11MO.0.A	PU24GB8_lumB	62	32
